	district	neighbourhood	in_dist
120353	Moema	parque ibirapuera	1
120418	Saúde	parque imperial	1
120482	Capão Redondo	parque independencia	1
120602	Vila Curuçá	parque industrial	1
120682	Jaraguá	parque industrial city jaragua	1
120788	São Mateus	parque industrial sao lourenco	1
120955	Barra Funda	parque industrial tomas edson	1
120998	Raposo Tavares	parque ipe	1
121084	Freguesia do Ó	parque itaberaba	1
121161	Jabaquara	parque jabaquara	1
121256	Campo Limpo	parque jardim mirassol	1
121345	Jardim Ângela	parque lago	1
121442	Capão Redondo	parque ligia	1
121539	Sapopemba	parque luis mucciolo	1
121657	Cangaíba	parque libano	1
121760	Rio Pequeno	parque malagoli	1
121824	Grajaú	parque manaca	1
121967	Mandaqui	parque mandaqui	1
122044	Freguesia do Ó	parque mandi	1
122113	Jardim Ângela	parque maria alice	1
122266	São Domingos	parque maria domitila	1
122325	Parelheiros	parque maria fernanda	1
122402	Capão Redondo	parque maria helena	1
122551	Vila Formosa	parque maria luiza	1
122620	Freguesia do Ó	parque monteiro soares	1
122760	Anhanguera	parque morro doce	1
122812	Freguesia do Ó	parque morro grande	1
122888	Campo Limpo	parque munhoz	1
122986	Jaraguá	parque nacoes unidas	1
122991	Cidade Dutra	parque nacoes unidas	1
123072	Grajaú	parque novo grajau	1
123171	Sapopemba	parque novo lar	1
123309	Vila Maria	parque novo mundo	1
123361	Jardim Ângela	parque novo santo amaro	1
123510	Artur Alvim	parque paineiras	1
123557	Jardim São Luís	parque paiolzinho	1
123661	Tremembé	parque palmas do tremembe	1
123754	Jaraguá	parque panamericano	1
123873	Jardim Helena	parque paulistano	1
123951	Cidade Dutra	parque paulistinha	1
124039	Brasilândia	parque pedroso	1
124184	Ponte Rasa	parque penha	1
124251	São Lucas	parque pereira	1
124390	Casa Verde	parque peruche	1
124429	Tremembé	parque petropolis	1
124512	Grajaú	parque planalto	1
124627	Pedreira	parque primavera	1
124717	Tremembé	parque ramos freitas	1
124808	Campo Limpo	parque reboucas	1
124952	Ponte Rasa	parque recreio	1
125000	Campo Limpo	parque regina	1
125090	Capão Redondo	parque residencial bandeirante	1
125184	Grajaú	parque residencial cocaia	1
125306	Vila Curuçá	parque residencial d'abril	1
125416	Campo Grande	parque residencial julia	1
125499	São Lucas	parque residencial oratorio	1
125639	Lapa	parque residencial da lapa	1
125696	Rio Pequeno	parque rio pequeno	1
125812	Tucuruvi	parque rodrigues alves	1
125926	Casa Verde	parque samarita	1
125964	Itaim Paulista	parque santa amelia	1
126048	Grajaú	parque santa cecilia	1
126063	Cidade Dutra	parque santa cecilia	1
126116	Santa Cecília	parque santa cecilia	1
126147	Sapopemba	parque santa madalena	1
126266	Vila Curuçá	parque santa rita	1
126351	Cidade Dutra	parque santana	1
126433	Jardim Ângela	parque santo amaro	1
126533	Jardim São Luís	parque santo antonio	1
126625	Jardim Ângela	parque santo antonio	1
126679	Vila Formosa	parque santo antonio	1
126721	Jardim Ângela	parque santo edwiges	1
126845	Cidade Líder	parque savoi city	1
126923	Itaquera	parque sevilha	1
126973	Água Rasa	parque sevilha	1
127008	Grajaú	parque shangrila	1
127174	Casa Verde	parque souza aranha	1
127258	São Domingos	parque sao domingos	1
127349	Tatuapé	parque sao jorge	1
127392	Grajaú	parque sao jose	1
127515	São Lucas	parque sao lucas	1
127612	Freguesia do Ó	parque sao luis	1
127680	Grajaú	parque sao miguel	1
127776	Grajaú	parque sao paulo	1
127895	São Rafael	parque sao rafael	1
127970	Capão Redondo	parque sonia	1
128074	Jaraguá	parque taipas	1
128181	Parelheiros	parque tamari	1
128263	Brasilândia	parque tiete	1
128379	São Lucas	parque tomas saraiva	1
128461	Tremembé	parque tremembe	1
128545	Jardim Ângela	parque universitario espirita	1
128722	Vila Guilherme	parque velloso	1
128738	Capão Redondo	parque vera cruz	1
128877	Vila Maria	parque vila maria	1
128974	Vila Prudente	parque vila prudente	1
129076	Tucuruvi	parque vitoria	1
129204	Vila Leopoldina	parque da lapa	1
129285	Mooca	parque da mooca	1
129358	Vila Prudente	parque da vila prudente	1
129409	Jardim Ângela	parque das cerejeiras	1
129527	São Rafael	parque das flores	1
129654	Artur Alvim	parque das paineiras	1
129711	Cidade Dutra	parque das arvores	1
129865	Parque do Carmo	parque do carmo	1
129903	Cidade Dutra	parque do castelo	1
129986	Capão Redondo	parque do engenho	1
130081	Jardim Ângela	parque do lago	1
130193	Vila Andrade	parque do morumbi	1
130277	Jardim São Luís	parque do otero	1
130389	Parelheiros	parque do terceiro lago	1
130467	Sapopemba	parque dos bancarios	1
130592	Rio Pequeno	parque dos principes	1
130726	Casa Verde	parte do imirim	1
130766	Cidade Tiradentes	passagem funda	1
130895	Mandaqui	pedra branca	1
130963	Pedreira	pedreira	1
131071	Penha	penha	1
131167	Penha	penha de franca	1
131237	Jardim São Luís	peninha	1
131378	Perdizes	perdizes	1
131483	Perus	perus	1
131596	Pinheiros	pinheiros	1
131632	Pirituba	piqueri	1
131720	Campo Limpo	pirajussara	1
131813	Jardim São Luís	piraporinha	1
131920	Pirituba	pirituba	1
132034	Saúde	planalto paulista	1
132186	Bom Retiro	ponte pequena	1
132248	Ponte Rasa	ponte rasa	1
132293	Jardim São Luís	praia azul	1
132403	Pedreira	praia leblon	1
132495	Cidade Dutra	praia paulistinha	1
132581	Jardim São Luís	praia da lagoa	1
132693	Parelheiros	praias paulistanas	1
132782	Cidade Tiradentes	prestes maia	1
132878	Cidade Tiradentes	profeta geremias	1
132973	Tremembé	protendit	1
133070	Cidade Tiradentes	perola vitoria	1
133231	Belém	quarta parada	1
133294	Vila Prudente	quinta da paineira	1
133382	Raposo Tavares	raposo tavares	1
133526	Morumbi	real parque	1
133558	Iguatemi	recanto alegre	1
133648	Pirituba	recanto anastacio	1
133749	Parelheiros	recanto campo belo	1
133824	Grajaú	recanto marisa	1
133936	Pirituba	recanto monte alegre	1
134075	Perus	recanto paraiso	1
134117	Jardim São Luís	recanto santo antonio	1
134230	Iguatemi	recanto verde do sol	1
134319	Cidade Dutra	recanto dos sonhos	1
134477	República	republica	1
134504	Campo Limpo	residencial morumbi	1
134664	Anhanguera	residencial sol nascente 1	1
134760	Anhanguera	residencial sol nascente 2	1
134856	Anhanguera	residencial sol nascente 3	1
134952	Anhanguera	residencial sol nascente 4	1
134993	Vila Andrade	retiro morumbi	1
135087	Cidade Dutra	rio bonito	1
135200	Rio Pequeno	rio pequeno	1
135269	Jardim São Luís	riviera paulista	1
135443	Butantã	rolinopolis	1
135460	Sacomã	sacoma	1
135583	Penha	santa amelia	1
135716	Santa Cecília	santa cecilia	1
135758	Cidade Tiradentes	santa etelvina	1
135854	Cidade Tiradentes	santa etelvina - metalurgicos	1
136013	República	santa ifigenia	1
136079	Mandaqui	santa ines	1
136169	Santana	santa terezinha	1
136265	Santana	santana	1
136382	Santo Amaro	santo amaro	1
136417	Jardim Ângela	sapato branco	1
136515	Sapopemba	sapopemba	1
136642	Saúde	saude	1
136723	Pedreira	sete praias	1
136814	Cidade Tiradentes	setor g	1
136967	Lapa	siciliano	1
137006	Cidade Tiradentes	sitio conceicao	1
137103	Cidade Dutra	sitio figueiras do rio bonito	1
137272	Socorro	socorro	1
137356	Pinheiros	sumarezinho	1
137426	Perdizes	sumare	1
137509	Vila Sônia	super quadra morumbi	1
137626	São Domingos	sao domingos	1
137668	Sacomã	sao joao climaco	1
137794	Saúde	sao judas	1
137883	São Lucas	sao lucas	1
137957	Jardim São Luís	sao luis	1
138068	São Mateus	sao mateus	1
138211	São Miguel	sao miguel paulista	1
138289	Cursino	sao salvador	1
138429	Sé	se	1
138491	Perus	sitio areiao	1
138541	Tremembé	sitio barrocada	1
138713	Alto de Pinheiros	sitio boa vista	1
138779	Perus	sitio botuquara	1
138911	Marsilac	sitio canela branca	1
138916	Sacomã	sitio caraguata	1
139008	Grajaú	sitio cocaia	1
139119	Cidade Dutra	sitio itaberaba i	1
139215	Cidade Dutra	sitio itaberaba ii	1
139324	Freguesia do Ó	sitio morro grande	1
139433	Santana	sitio pedra branca	1
139515	São Lucas	sitio pinheirinho	1
139605	Parelheiros	sitio represa	1
139726	Vila Prudente	sitio da figueira	1
139846	Casa Verde	sitio do mandaqui	1
139936	Limão	sitio do morro	1
139981	Tremembé	sitio do piqueri	1
140117	Tatuapé	tatuape	1
140143	Belém	tatuape	1
140182	Iguatemi	terceira divisao	1
140271	Cidade Dutra	terceira divisao de interlagos	1
140352	Grajaú	toca do tatu	1
140461	Tremembé	tres cruzes	1
140596	Tucuruvi	tucuruvi	1
140648	Campo Limpo	umarizal	1
140786	Perdizes	urbanizadora	1
140872	Campo Grande	usina piratininga	1
140930	Capão Redondo	valo velho	1
141112	Socorro	veleiros	1
141164	Guaianases	vila abc	1
141244	Freguesia do Ó	vila acre	1
141352	Campo Grande	vila agueda	1
141441	Jardim Helena	vila aimore	1
141516	Itaim Paulista	vila alabama	1
141632	Rio Pequeno	vila alba	1
141733	Vila Sônia	vila albano	1
141805	Tremembé	vila albertina	1
141962	Campo Belo	vila alexandria	1
142024	Campo Grande	vila almeida	1
142126	Vila Prudente	vila alpina	1
142184	Campo Limpo	vila alteza	1
142329	Aricanduva	vila alzira	1
142414	Vila Prudente	vila alois	1
142531	São Miguel	vila americana	1
142584	Cachoeirinha	vila amalia	1
142591	Penha	vila amalia	1
142703	Mandaqui	vila amelia	1
142760	Campo Limpo	vila america	1
142858	Jaraguá	vila ana rosa	1
142971	São Lucas	vila anadir	1
143111	Lapa	vila anastacio	1
143140	Sacomã	vila anchieta	1
143250	Lajeado	vila andes	1
143345	Vila Andrade	vila andrade	1
143464	Campo Grande	vila anhanguera	1
143590	Casa Verde	vila anhembi	1
143641	Cangaíba	vila antenor	1
143769	Aricanduva	vila antonieta	1
143863	Vila Formosa	vila antonina	1
143936	Rio Pequeno	vila antonio	1
144003	Sapopemba	vila antonio dos santos	1
144104	Campo Limpo	vila analia	1
144284	Jaguara	vila aparecida ivone	1
144343	Vila Formosa	vila araci	1
144409	Cangaíba	vila araguaia	1
144484	Sacomã	vila arapua	1
144604	Freguesia do Ó	vila arcadia	1
144743	Lapa	vila argentina	1
144816	Vila Matilde	vila aricanduva	1
144904	Campo Grande	vila arriete	1
144985	Cangaíba	vila arruda	1
145127	Lapa	vila augusto	1
145196	Guaianases	vila aurea	1
145258	Jaraguá	vila aurora	1
145261	Tremembé	vila aurora	1
145295	Mandaqui	vila aurora	1
145357	Tremembé	vila ayrosa	1
145493	Tatuapé	vila azevedo	1
145555	Pedreira	vila babi	1
145641	Jabaquara	vila babilonia	1
145768	Campo Grande	vila baby	1
145827	Sapopemba	vila bancaria	1
145948	Freguesia do Ó	vila bancaria munhoz	1
146086	Casa Verde	vila bandeirante	1
146176	Limão	vila barbosa	1
146299	Barra Funda	vila barra funda	1
146307	Sapopemba	vila barreira grande	1
146416	Pirituba	vila barreto	1
146566	Casa Verde	vila baruel	1
146639	Mandaqui	vila basileia	1
146744	Ponte Rasa	vila bauab	1
146815	Penha	vila beatriz	1
146873	Alto de Pinheiros	vila beatriz	1
146926	Vila Prudente	vila bela	1
147047	Lapa	vila bela alianca	1
147096	Cachoeirinha	vila bela vista	1
147116	Guaianases	vila bela vista	1
147171	Sapopemba	vila bela do sapopemba	1
147269	Jardim São Luís	vila belezas	1
147385	Cangaíba	vila belo horizonte	1
147517	Água Rasa	vila bertioga	1
147593	Santana	vila bianca	1
147664	Pirituba	vila boacava	1
147745	Jardim Ângela	vila bom jardim	1
147856	Pirituba	vila bonilha	1
147952	Pirituba	vila bonilha nova	1
148070	Raposo Tavares	vila borges	1
148139	Itaquera	vila bozzini	1
148232	Campo Limpo	vila brasil	1
148235	Itaquera	vila brasil	1
148237	Tremembé	vila brasil	1
148249	Cangaíba	vila brasil	1
148277	Tatuapé	vila brasil	1
148281	Aricanduva	vila brasil	1
148357	Vila Sônia	vila brasilina	1
148369	Cursino	vila brasilina	1
148465	Cursino	vila brasilio machado	1
148593	Consolação	vila buarque	1
148633	Cangaíba	vila buenos aires	1
148652	Guaianases	vila buenos aires	1
148736	Rio Pequeno	vila butanta	1
148852	Tucuruvi	vila cachoeira	1
148955	Perus	vila caiuba	1
149048	Ponte Rasa	vila caju	1
149134	Vila Prudente	vila california	1
149185	Jardim Ângela	vila calu	1
149291	Itaquera	vila campanela	1
149334	Artur Alvim	vila campanela	1
149385	Jabaquara	vila campestre	1
149509	Vila Sônia	vila campo belo	1
149608	Campo Grande	vila campo grande	1
149673	Jabaquara	vila canaa	1
149839	Belém	vila canero	1
149862	Cidade Ademar	vila capela	1
149956	Sacomã	vila caraguata	1
150112	Limão	vila carbone	1
150172	Freguesia do Ó	vila cardoso	1
150243	Sapopemba	vila cardoso franco	1
150344	Campo Limpo	vila carioca	1
150375	Ipiranga	vila carioca	1
150503	Lapa	vila carlina	1
150559	Penha	vila carlos de campos	1
150698	Campo Belo	vila carmem	1
150731	Itaquera	vila carmosina	1
150828	Itaim Paulista	vila carolina	1
150876	Jaçanã	vila carolina	1
150880	Limão	vila carolina	1
150975	Carrão	vila carrao	1
151014	Cidade Ademar	vila castelo	1
151120	Pirituba	vila catupia	1
151228	Freguesia do Ó	vila cavaton	1
151307	Itaquera	vila caxambu	1
151453	Água Rasa	vila celeste	1
151519	Penha	vila centenario	1
151611	São Lucas	vila central	1
151698	Lajeado	vila chabilandia	1
151867	Barra Funda	vila chalot	1
151963	Barra Funda	vila charlote	1
152035	São Miguel	vila chavantes	1
152136	Anhanguera	vila chica luiza	1
152233	Parque do Carmo	vila chuca	1
152262	Cidade Ademar	vila clara	1
152265	Jabaquara	vila clara	1
152282	Vila Curuçá	vila clara	1
152368	Pirituba	vila clarice	1
152509	Água Rasa	vila claudia	1
152580	Vila Mariana	vila clementino	1
152667	São Lucas	vila cleonice	1
152797	Água Rasa	vila clotilde	1
152901	Mooca	vila claudia	1
152944	Pirituba	vila comercial	1
153050	Vila Curuçá	vila conceicao	1
153124	Sacomã	vila conde do pinhal	1
153290	Campo Belo	vila congonhas	1
153372	Jaçanã	vila constanca	1
153450	Vila Medeiros	vila constancia	1
153464	Ponte Rasa	vila constancia	1
153528	Cachoeirinha	vila continental	1
153611	Itaquera	vila corberi	1
153747	Itaim Bibi	vila cordeiro	1
153836	Guaianases	vila cosmopolita	1
153944	Ponte Rasa	vila costa melo	1
153988	Sacomã	vila cristina	1
154084	Sacomã	vila cristalia	1
154204	Freguesia do Ó	vila cruz das almas	1
154329	Aricanduva	vila cruzeiro	1
154334	Santo Amaro	vila cruzeiro	1
154402	Saúde	vila cruzeiro do sul	1
154491	São Lucas	vila cunha bueno	1
154586	Vila Curuçá	vila curuca	1
154682	Vila Curuçá	vila curuca nova	1
154778	Vila Curuçá	vila curuca velha	1
154873	Cangaíba	vila cisper	1
154992	Vila Matilde	vila dalila	1
155072	Rio Pequeno	vila dalva	1
155137	Jardim Ângela	vila damaceno	1
155299	São Miguel	vila danubio azul	1
155355	São Lucas	vila darli	1
155509	Cambuci	vila deodoro	1
155535	Cidade Dutra	vila diana	1
155648	Rio Pequeno	vila dinorah	1
155736	Cachoeirinha	vila dionisia	1
155869	Água Rasa	vila diva	1
155872	Limão	vila diva	1
155931	São Lucas	vila divina pastora	1
156025	Cangaíba	vila dom duarte leopoldo	1
156097	Jardim Ângela	vila dom jose	1
156244	Tucuruvi	vila dom pedro ii	1
156344	Ponte Rasa	vila domitilia	1
156397	Tremembé	vila dona augusta	1
156481	Jardim Ângela	vila dona meta	1
156633	Aricanduva	vila dona sara	1
156685	Tremembé	vila dorna	1
156835	São Miguel	vila doutor eiras	1
156880	Pirituba	vila duarte	1
157002	Vila Medeiros	vila ede	1
157148	Jaguara	vila eleonora	1
157162	Jaraguá	vila eliana	1
157255	Brasilândia	vila elias nigri	1
157391	Mandaqui	vila eliete	1
157468	Freguesia do Ó	vila elisabete	1
157598	Santo Amaro	vila elvira	1
157635	Sapopemba	vila elze	1
157732	Sacomã	vila elisio	1
157851	São Lucas	vila ema	1
157977	Aricanduva	vila embira	1
158056	Campo Grande	vila emir	1
158118	Cidade Ademar	vila erna	1
158225	Vila Andrade	vila ernesto	1
158316	Itaim Paulista	vila escolar	1
158404	Sacomã	vila escudeiro	1
158509	Tremembé	vila esmeralda	1
158656	Limão	vila espanhola	1
158709	Parelheiros	vila esperanca	1
158719	Penha	vila esperanca	1
158807	São Rafael	vila ester	1
158854	Casa Verde	vila ester	1
158912	Rio Pequeno	vila esther	1
159024	Vila Matilde	vila ester	1
159103	Penha	vila eugenio	1
159207	Ipiranga	vila eulalia	1
159312	Vila Matilde	vila eutalia	1
159369	Jabaquara	vila facchini	1
159452	Jaguara	vila facchini	1
159513	Aricanduva	vila falconi	1
159611	Perus	vila fanton	1
159650	Capão Redondo	vila fazzeoni	1
159746	Capão Redondo	vila fazzione	1
159871	Penha	vila feliz	1
159999	Carrão	vila fernandes	1
160057	Cangaíba	vila fernando	1
160186	São Domingos	vila fiat lux	1
160237	Tremembé	vila fidalgo	1
160359	Ipiranga	vila firmiano pinto	1
160453	Vila Sônia	vila ford	1
160567	Vila Formosa	vila formosa	1
160633	Cangaíba	vila franci	1
160711	Brasilândia	vila francos	1
160808	Campo Limpo	vila franca	1
160984	Socorro	vila friburgo	1
161048	Ponte Rasa	vila frugoli	1
161106	Lajeado	vila fukuya	1
161235	Itaim Bibi	vila funchal	1
161283	Sapopemba	vila fatima	1
161383	Brasilândia	vila gabriel	1
161512	Campo Grande	vila gea	1
161599	Penha	vila germaine	1
161677	Tremembé	vila germinal	1
161811	Itaim Bibi	vila gertrudes	1
161891	José Bonifácio	vila gil	1
161953	Jardim Ângela	vila gilda	2
162115	São Miguel	vila giordano	1
162227	Butantã	vila gomes	1
162293	Tatuapé	vila gomes cardim	1
162406	Casa Verde	vila gouveia	1
162493	Água Rasa	vila graciosa	1
162559	Penha	vila granada	1
162704	Jaguaré	vila graziela	1
162767	Mandaqui	vila guaca	1
162835	Pedreira	vila guacuri	1
162937	Cangaíba	vila guaraciaba	1
163017	Jabaquara	vila guarani	1
163065	Aricanduva	vila guarani	1
163162	São Domingos	vila guedes	1
163231	Penha	vila guilherme	1
163282	Vila Guilherme	vila guilherme	1
163344	Vila Matilde	vila guilhermina	1
163441	Cursino	vila gumercindo	1
163540	Tucuruvi	vila gustavo	1
163645	Água Rasa	vila haddad	1
163764	Vila Leopoldina	vila hamburguesa	1
163804	Freguesia do Ó	vila hebe	1
163950	Bela Vista	vila helena	1
163972	Sacomã	vila heliopolis	1
164067	Sapopemba	vila heloisa	1
164188	Freguesia do Ó	vila herminia	1
164281	Cangaíba	vila hilda	1
164362	Jaraguá	vila homero	1
164507	Perus	vila hungaresa	1
164547	Sapopemba	vila ivg	1
164647	Brasilândia	vila icarai	1
164825	Alto de Pinheiros	vila ida	1
164838	Cidade Ademar	vila imperio	1
164965	Vila Sônia	vila inah	1
165063	Ipiranga	vila independencia	1
165203	Butantã	vila indiana	1
165243	São Lucas	vila industrial	1
165318	Cidade Ademar	vila inglesa	1
165440	Rio Pequeno	vila invernada	1
165463	Vila Formosa	vila invernada	1
165563	Perus	vila inacio	1
165618	Lajeado	vila iolanda	1
165767	Lapa	vila ipojuca	1
165805	Tremembé	vila irmaos arnoni	1
165928	Campo Grande	vila isa	1
165991	Brasilândia	vila isabel	1
166162	Vila Guilherme	vila isolina	1
166258	Vila Guilherme	vila isolina mazzei	1
166279	Brasilândia	vila itaberaba	1
166380	Itaim Paulista	vila itaim	1
166401	Jardim Helena	vila itaim	1
166480	Pirituba	vila itapeva	1
166587	São Lucas	vila ivone	1
166684	Freguesia do Ó	vila iorio	1
166761	Jabaquara	vila jabaquara	1
166849	Jardim Ângela	vila jaci	1
166974	Vila Jacuí	vila jacui	1
167132	Jaguara	vila jaguara	1
167194	São Domingos	vila jaguari	1
167312	Jaguaré	vila jaguare	1
167400	Anhanguera	vila jaragua	1
167513	Alto de Pinheiros	vila jatai	1
167526	Cidade Ademar	vila joaniza	1
167657	Santana	vila jose casa grande	1
167719	Brasilândia	vila joao batista	1
167820	Itaim Paulista	vila jurema	1
167915	Itaquera	vila jussara	1
168003	Sapopemba	vila julio	1
168124	Freguesia do Ó	vila julio cesar	1
168203	Itaquera	vila klaunig	1
168368	Jaguaré	vila lageado	1
168464	Jaguaré	vila lajeado	1
168511	Penha	vila lais	1
168637	Água Rasa	vila leme	1
168754	Vila Guilherme	vila leonor	1
168852	Vila Leopoldina	vila leopoldina	1
168889	Cangaíba	vila libanesa	1
168925	Água Rasa	vila libanesa	1
168988	Freguesia do Ó	vila liberlandia	1
169144	Socorro	vila lisboa	1
169156	Sacomã	vila liviero	1
169273	Cangaíba	vila londrina	1
169362	Lajeado	vila lourdes	1
169493	Tatuapé	vila luiza	1
169548	Itaim Paulista	vila luzimar	1
169685	Tatuapé	vila luzitana	1
169759	Penha	vila luisa	1
169810	Vila Guilherme	vila luisa	1
169852	Freguesia do Ó	vila lorio	1
169966	Vila Prudente	vila lucia	1
170077	Água Rasa	vila lucia elvira	1
170139	São Lucas	vila macedopolis	1
170284	Pinheiros	vila madalena	1
170297	Alto de Pinheiros	vila madalena	1
170336	Rio Pequeno	vila madeiral	1
170457	Aricanduva	vila mafra	1
170527	Penha	vila maluf	1
170651	Perus	vila malvina	1
170746	São Domingos	vila mangalot	1
170817	Jardim Helena	vila mara	1
170885	Jardim São Luís	vila maracana	1
170982	Cidade Ademar	vila marari	1
171093	Parelheiros	vila marcelo	1
171180	Itaim Paulista	vila margareth	1
171291	São Lucas	vila margarida	1
171405	Vila Maria	vila maria alta	1
171487	Penha	vila maria amalia	1
171590	Raposo Tavares	vila maria augusta	1
171693	Vila Maria	vila maria baixa	1
171802	São Domingos	vila maria eugenia	1
171904	Limão	vila maria luisa	1
171952	Pirituba	vila maria trindade	1
172111	Belém	vila maria zelia	1
172164	Vila Mariana	vila mariana	1
172237	Tremembé	vila marieta	1
172255	Penha	vila marieta	1
172364	Guaianases	vila marilena	1
172444	Freguesia do Ó	vila marina	1
172514	Capão Redondo	vila maringa	1
172672	Limão	vila marisbela	1
172745	Santana	vila mariza mazzei	1
172804	Sacomã	vila marte	1
172905	Jabaquara	vila mascote	1
173033	Santana	vila matias	1
173049	Aricanduva	vila matias	1
173136	Vila Matilde	vila matilde	1
173209	Cangaíba	vila mauad	1
173332	Tucuruvi	vila mazzei	1
173418	Vila Medeiros	vila medeiros	1
173484	Itaim Paulista	vila melo	1
173595	São Lucas	vila mendes	1
173691	São Lucas	vila mercedes	1
173785	Cangaíba	vila mesquita	1
173883	São Lucas	vila miami	1
173957	Jardim São Luís	vila michelina	1
174066	Lajeado	vila minerva	1
174153	Jabaquara	vila mira	1
174256	Pirituba	vila mirante	1
174364	Freguesia do Ó	vila miriam	1
174488	Ponte Rasa	vila mirim	1
174547	Pedreira	vila missionaria	1
174628	Sacomã	vila moinho velho	1
174652	Freguesia do Ó	vila moinho velho	1
174754	Saúde	vila monte alegre	1
174846	Vila Jacuí	vila monte santo	1
174951	Ipiranga	vila monumento	1
175057	Cursino	vila moraes	1
175104	Grajaú	vila morais prado	1
175253	Tatuapé	vila moreira	1
175308	Itaim Paulista	vila morgadouro	1
175456	Limão	vila morro alto	1
175516	Freguesia do Ó	vila morro grande	1
175621	Vila Sônia	vila morse	1
175766	Morumbi	vila morumbi	1
175858	Vila Guilherme	vila munhoz	1
175873	Jardim Ângela	vila nagibe	1
176017	Cursino	vila nair	1
176082	Lajeado	vila nancy	1
176160	Grajaú	vila narciso	1
176256	Grajaú	vila nascente	1
176352	Grajaú	vila natal	1
176452	Sacomã	vila natalia	1
176556	Itaim Paulista	vila neila	1
176694	Artur Alvim	vila nhocune	1
176796	Jaçanã	vila nilo	1
176924	Jaguara	vila nilva	1
176935	Brasilândia	vila nina	1
177091	São Miguel	vila nitro operaria	1
177172	Tucuruvi	vila nivi	1
177290	Campo Belo	vila noca	1
177401	Alto de Pinheiros	vila nogueira	1
177435	São Lucas	vila norma	1
177438	Vila Jacuí	vila norma	1
177520	Pirituba	vila nossa senhora aparecida	1
177610	Jaraguá	vila nossa senhora da conceicao	1
177712	Pirituba	vila nossa senhora do retiro	1
177795	Sapopemba	vila nova	1
177920	Rio Pequeno	vila nova alba	1
178008	Cachoeirinha	vila nova cachoeirinha	1
178086	Cidade Ademar	vila nova caledonia	1
178241	Moema	vila nova conceicao	1
178293	Parelheiros	vila nova esperanca	1
178428	Jaçanã	vila nova galvao	1
178495	Penha	vila nova granada	1
178615	Vila Formosa	vila nova iorque	1
178748	Jaguara	vila nova jaguara	1
178832	Jaguaré	vila nova jaguare	1
178858	Jaraguá	vila nova jaragua	1
179007	Carrão	vila nova manchester	1
179053	Tremembé	vila nova mazzei	1
179092	Tucuruvi	vila nova mazzei	1
179146	Jaraguá	vila nova parada	1
179259	São Lucas	vila nova pauliceia	1
179387	Perus	vila nova perus	1
179432	Campo Limpo	vila nova pirajussara	1
179568	Vila Matilde	vila nova savoia	1
179659	Ermelino Matarazzo	vila nova teresa	1
179742	Vila Jacuí	vila nova uniao	1
179835	São Lucas	vila nova utinga	1
179961	Aricanduva	vila nova york	1
180056	Ponte Rasa	vila odete	1
180133	Vila Sônia	vila olga	1
180249	Aricanduva	vila olinda	1
180339	Itaim Bibi	vila olimpia	1
180415	Penha	vila olivia	1
180541	Água Rasa	vila oratorio	1
180658	Vila Guilherme	vila paiva	1
180694	Iguatemi	vila palma	1
180785	Vila Andrade	vila palmas	1
180892	Freguesia do Ó	vila palmeira	1
181003	Ermelino Matarazzo	vila paranagua	1
181065	Jabaquara	vila parque jabaquara	1
181180	Freguesia do Ó	vila parque sao luis	1
181254	Cidade Ademar	vila patrimonial	1
181385	Santana	vila pauliceia	1
181501	Água Rasa	vila paulina	1
181545	Jabaquara	vila paulista	1
181550	Cidade Tiradentes	vila paulista	1
181645	Tremembé	vila paulistana	1
181657	Cangaíba	vila paulistana	1
181753	Cangaíba	vila paulistania	1
181851	São Lucas	vila paulo silas	1
181967	Mandaqui	vila pedra branca	1
182068	Tucuruvi	vila pedrosa	1
182179	São Miguel	vila pedroso	1
182215	Brasilândia	vila penteado	1
182233	Cangaíba	vila penteado	1
182320	Pirituba	vila pereira barreto	1
182416	Pirituba	vila pereira cerca	1
182555	Perus	vila perus	1
182642	Perdizes	vila piaui	1
182684	Jaguara	vila piaui	1
182716	Freguesia do Ó	vila picinin	1
182809	Cangaíba	vila pierina	1
182913	Jardim Helena	vila piracicaba	1
182984	Campo Limpo	vila pirajussara	1
183109	Vila Sônia	vila pires	1
183184	Pirituba	vila pirituba	1
183288	Cachoeirinha	vila pita	1
183442	Vila Guilherme	vila pizzotti	1
183473	Vila Andrade	vila plana	1
183584	Rio Pequeno	vila polopoli	1
183698	Perdizes	vila pompeia	1
183800	Ponte Rasa	vila ponte rasa	1
183872	Rio Pequeno	vila popo poli	1
183980	Guaianases	vila popular	1
184048	Pirituba	vila portugal	1
184156	Freguesia do Ó	vila portugues	1
184261	Vila Sônia	vila prado	1
184288	Limão	vila prado	1
184357	Vila Sônia	vila praia	1
184421	Jardim São Luís	vila prel	1
184568	Ponte Rasa	vila prima	1
184611	Sapopemba	vila primavera	1
184636	Freguesia do Ó	vila primavera	1
184748	Guaianases	vila princesa isabel	1
184886	Morumbi	vila progredior	1
184911	Cidade Dutra	vila progresso	1
184924	Freguesia do Ó	vila progresso	1
184963	São Miguel	vila progresso	1
185038	Vila Prudente	vila prudente	1
185092	Sacomã	vila quaqua	1
185199	Cidade Dutra	vila quintana	1
185321	Santana	vila rabelo	1
185408	Rio Pequeno	vila ramos	1
185531	Perus	vila rancho alegre	1
185635	São Miguel	vila raquel	1
185671	Brasilândia	vila real	1
185821	Água Rasa	vila regente feijo	1
185867	Itaquera	vila regina	1
