	district	neighbourhood	in_dist
51416	Ponte Rasa	jardim fonte sao miguel	1
51473	Vila Andrade	jardim fonte do morumbi	1
51557	Jardim São Luís	jardim francisco	1
51661	Tremembé	jardim francisco mendes	1
51751	Brasilândia	jardim franco	1
51892	Tucuruvi	jardim franca	1
51937	Jardim Ângela	jardim fraternidade	1
52088	Ponte Rasa	jardim frugol	1
52129	Jardim Ângela	jardim fujihara	1
52224	Grajaú	jardim gaivotas	1
52377	Aricanduva	jardim galli	1
52421	Jardim São Luís	jardim germania	1
52530	Lajeado	jardim gianetti	1
52640	Rio Pequeno	jardim gilberto	1
52742	Raposo Tavares	jardim gilda maria	1
52836	Vila Mariana	jardim gloria	1
52921	Cangaíba	jardim gondolo	1
53017	Cangaíba	jardim gonzaga	1
53103	Cidade Dutra	jardim grauna	1
53187	Sapopemba	jardim grimaldi	1
53299	Pedreira	jardim guacuri	1
53394	Lajeado	jardim guaianases	1
53499	São Lucas	jardim guairaca	1
53583	Cidade Dutra	jardim guanabara	1
53705	Santana	jardim guanandi	1
53775	Cidade Dutra	jardim guanhembu	1
53911	Vila Formosa	jardim guannan	1
53994	Vila Medeiros	jardim guanca	1
54061	Tremembé	jardim guapira	1
54151	Brasilândia	jardim guarani	1
54328	Socorro	jardim guarapiranga	1
54374	Raposo Tavares	jardim guarau	1
54433	Jardim Ângela	jardim guaruja	1
54614	Morumbi	jardim guedala	1
54627	Sapopemba	jardim guiomar	1
54721	Jardim Ângela	jardim gustavo	1
54862	Vila Prudente	jardim hadad	1
54973	Água Rasa	jardim haddad	1
55065	Aricanduva	jardim haia do carrao	1
55110	Cidade Ademar	jardim harmonia	1
55213	Tremembé	jardim hebrom	1
55331	José Bonifácio	jardim helena	1
55400	Campo Limpo	jardim helga	1
55550	Santo Amaro	jardim heliomar	1
55610	Vila Curuçá	jardim heloisa	1
55611	São Lucas	jardim heloisa	1
55681	Jardim Ângela	jardim herculano	1
55824	Vila Matilde	jardim hercilia	1
55893	Parelheiros	jardim herplin	1
55969	Jardim Ângela	jardim horizonte azul	1
56148	Vila Leopoldina	jardim humaita	1
56222	Santo Amaro	jardim hipico	1
56258	Capão Redondo	jardim iae	1
56407	Vila Formosa	jardim iara	1
56453	Jardim São Luís	jardim ibirapuera	1
56557	Tremembé	jardim ibiratiba	1
56686	Vila Prudente	jardim ibitirama	1
56806	Casa Verde	jardim iberia	1
56832	Grajaú	jardim icarai	1
56940	Itaim Paulista	jardim ida guedes	1
57057	Jardim Helena	jardim ideal	1
57120	Grajaú	jardim ideal	1
57238	Iguatemi	jardim iguatemi	1
57315	Sapopemba	jardim iguacu	1
57409	Jardim Ângela	jardim imbe	1
57508	Sacomã	jardim imperador	1
57524	São Mateus	jardim imperador	1
57632	Rio Pequeno	jardim imperial	1
57711	Cidade Dutra	jardim imperio	1
57804	Itaim Paulista	jardim indaia	1
57892	Sacomã	jardim independencia	1
57915	São Lucas	jardim independencia	1
57992	Campo Limpo	jardim inga	1
58142	Santo Amaro	jardim internacional	1
58186	Jaraguá	jardim ipanema	1
58205	Cidade Líder	jardim ipanema	1
58243	São Miguel	jardim ipanema	1
58264	Socorro	jardim ipanema	1
58272	Grajaú	jardim iporanga	1
58287	Cidade Dutra	jardim iporanga	1
58389	Parelheiros	jardim ipora	1
58466	Capão Redondo	jardim ipe	1
58568	Campo Limpo	jardim iracema	1
58658	Capão Redondo	jardim irapiranga	1
58754	Capão Redondo	jardim irene	1
58763	Itaquera	jardim irene	1
58857	Jabaquara	jardim itacolomi	1
58944	Grajaú	jardim itajai	1
59048	Campo Limpo	jardim itamaraty	1
59165	Cidade Líder	jardim itapema	1
59243	Itaquera	jardim itapemirim	1
59347	Pedreira	jardim itapura	1
59471	Mandaqui	jardim itatinga	1
59520	Grajaú	jardim itatiaia	1
59618	Capão Redondo	jardim itaoca	1
59773	Água Rasa	jardim italia	1
59828	São Mateus	jardim itapolis	1
59907	Sapopemba	jardim iva	1
59961	Aricanduva	jardim iva	1
60032	Rio Pequeno	jardim ivana	1
60131	José Bonifácio	jardim ivete	1
60195	Sapopemba	jardim ivone	1
60297	Jabaquara	jardim jabaquara	1
60392	Campo Limpo	jardim jamaica	1
60482	Capão Redondo	jardim janiopolis	1
60505	Cangaíba	jardim janiopolis	1
60621	Vila Maria	jardim japao	1
60709	Vila Sônia	jardim jaqueline	1
60780	Itaim Paulista	jardim jaragua	1
60826	São Domingos	jardim jaragua	1
60840	Anhanguera	jardim jaragua	1
60877	Tremembé	jardim jacana	1
60960	Grajaú	jardim jau	1
60985	Cangaíba	jardim jau	1
61058	Capão Redondo	jardim jeriva	1
61165	Tremembé	jardim joamar	1
61261	Tremembé	jardim joana d'arc	1
61359	Cidade Dutra	jardim jordanopolis	1
61475	José Bonifácio	jardim jordao	1
61574	Raposo Tavares	jardim joao xxiii	1
61672	Campo Grande	jardim jua	1
